Name, time, alt, az
STARLINK-1366           , 2020-06-05 04:39:00+01:00, 55.70, 204.59
STARLINK-58             , 2020-06-05 04:40:00+01:00, 72.12, 52.90
STARLINK-1268           , 2020-06-05 04:41:00+01:00, 68.09, 27.95
STARLINK-43             , 2020-06-05 04:42:00+01:00, 58.76, 316.30
STARLINK-1304           , 2020-06-05 04:42:00+01:00, 57.06, 143.20
STARLINK-1291           , 2020-06-05 04:42:00+01:00, 76.67, 12.39
STARLINK-1316           , 2020-06-05 04:43:00+01:00, 67.57, 313.26
STARLINK-75             , 2020-06-05 04:44:00+01:00, 65.03, 327.80
STARLINK-1257           , 2020-06-05 04:44:00+01:00, 70.51, 332.06
STARLINK-1264           , 2020-06-05 04:45:00+01:00, 76.05, 6.35
STARLINK-1256           , 2020-06-05 04:45:00+01:00, 71.01, 352.24
STARLINK-1213           , 2020-06-05 04:46:00+01:00, 69.99, 5.62
STARLINK-1263           , 2020-06-05 04:47:00+01:00, 67.46, 21.03
STARLINK-1267           , 2020-06-05 04:48:00+01:00, 75.43, 351.24
STARLINK-1259           , 2020-06-05 04:48:00+01:00, 63.90, 32.79
STARLINK-1265           , 2020-06-05 04:48:00+01:00, 58.74, 298.21
STARLINK-1285           , 2020-06-05 04:49:00+01:00, 60.10, 40.97
STARLINK-1296           , 2020-06-05 04:50:00+01:00, 57.88, 299.33
STARLINK-61             , 2020-06-05 04:51:00+01:00, 51.47, 152.21
STARLINK-1260           , 2020-06-05 04:51:00+01:00, 61.64, 307.94
STARLINK-1318           , 2020-06-05 04:52:00+01:00, 64.87, 319.22
STARLINK-22             , 2020-06-05 04:53:00+01:00, 62.80, 30.39
STARLINK-1275           , 2020-06-05 04:53:00+01:00, 66.96, 332.13
STARLINK-1207           , 2020-06-05 04:54:00+01:00, 71.18, 322.34
STARLINK-1309           , 2020-06-05 04:54:00+01:00, 67.76, 345.87
STARLINK-1274           , 2020-06-05 04:55:00+01:00, 71.63, 5.36
STARLINK-1283           , 2020-06-05 04:55:00+01:00, 66.27, 41.18
STARLINK-1282           , 2020-06-05 04:55:00+01:00, 67.41, 0.32
STARLINK-1286           , 2020-06-05 04:55:00+01:00, 63.06, 193.27
STARLINK-1313           , 2020-06-05 04:56:00+01:00, 64.96, 338.19
STARLINK-1279           , 2020-06-05 04:57:00+01:00, 65.55, 355.64
STARLINK-1266           , 2020-06-05 04:57:00+01:00, 68.65, 315.73
STARLINK-1338           , 2020-06-05 04:57:00+01:00, 59.35, 224.20
STARLINK-1298           , 2020-06-05 04:58:00+01:00, 59.27, 36.87
STARLINK-1293           , 2020-06-05 04:59:00+01:00, 55.74, 43.61
STARLINK-1284           , 2020-06-05 05:00:00+01:00, 65.09, 308.24
STARLINK-1255           , 2020-06-05 05:00:00+01:00, 58.79, 310.30
STARLINK-1281           , 2020-06-05 05:02:00+01:00, 68.03, 128.73
STARLINK-1258           , 2020-06-05 05:03:00+01:00, 60.96, 301.90
STARLINK-64             , 2020-06-05 05:05:00+01:00, 65.12, 255.29
STARLINK-1301           , 2020-06-05 05:05:00+01:00, 66.59, 29.33
STARLINK-1371           , 2020-06-05 05:05:00+01:00, 55.77, 203.83
STARLINK-1310           , 2020-06-05 05:07:00+01:00, 69.80, 119.85
